Mes,Tipo de cambio nominal promedio mensual
mar-02,2.3989
abr-02,2.8551
may-02,3.3287
jun-02,3.6213
jul-02,3.6071
ago-02,3.6207
sep-02,3.6431
oct-02,3.6519
nov-02,3.5256
dic-02,3.4902
ene-03,3.2582
feb-03,3.1632
mar-03,3.0747
abr-03,2.8946
may-03,2.8357
jun-03,2.8089
jul-03,2.8013
ago-03,2.9285
sep-03,2.9209
oct-03,2.8591
nov-03,2.8839
dic-03,2.9606
ene-04,2.8928
feb-04,2.9319
mar-04,2.8976
abr-04,2.8359
may-04,2.9197
jun-04,2.9603
jul-04,2.9552
ago-04,3.0136
sep-04,2.996 
oct-04,2.9692
nov-04,2.9546
dic-04,2.9709
ene-05,2.946 
feb-05,2.9153
mar-05,2.9266
abr-05,2.9004
may-05,2.8909
jun-05,2.8836
jul-05,2.8696
ago-05,2.888 
sep-05,2.9117
oct-05,2.966 
nov-05,2.9672
dic-05,3.0145
ene-06,3.046 
feb-06,3.0689
mar-06,3.0763
abr-06,3.0663
may-06,3.0535
jun-06,3.0813
jul-06,3.082 
ago-06,3.079
sep-06,3.1001
oct-06,3.0985
nov-06,3.0757
dic-06,3.0603
ene-07,3.085 
feb-07,3.1026
mar-07,3.101 
abr-07,3.0891
may-07,3.08  
jun-07,3.0793
jul-07,3.1116
ago-07,3.1524
sep-07,3.1475
oct-07,3.1604
nov-07,3.1359
dic-07,3.1397
ene-08,3.1444
feb-08,3.1583
mar-08,3.1558
abr-08,3.1665
may-08,3.1511
jun-08,3.0434
jul-08,3.0223
ago-08,3.0333
sep-08,3.0824
oct-08,3.2385
nov-08,3.3292
dic-08,3.4226
ene-09,3.464 
feb-09,3.5115
mar-09,3.654 
abr-09,3.6934
may-09,3.7245
jun-09,3.7681
jul-09,3.8097
ago-09,3.8392
sep-09,3.8424
oct-09,3.8262
nov-09,3.811 
dic-09,3.807 
ene-10,3.8042
feb-10,3.8512
mar-10,3.8627
abr-10,3.8761
may-10,3.902 
jun-10,3.9265
jul-10,3.9348
ago-10,3.9376
sep-10,3.9519
oct-10,3.957 
nov-10,3.9676
dic-08,3.9776
ene-11,3.9813
feb-11,4.022 
mar-11,4.0372
abr-11,4.0655
may-11,4.0839
jun-11,4.096 
jul-11,4.1276
ago-11,4.168 
sep-11,4.2042
oct-11,4.2221
nov-11,4.2601
dic-11,4.2888
ene-12,4.3206
feb-12,4.3463
mar-12,4.3563
abr-12,4.3978
may-12,4.4504
jun-12,4.4978
jul-12,4.5528
ago-12,4.6098
sep-12,4.6699
oct-12,4.7299
nov-12,4.7974
dic-12,4.88  
ene-13,4.9486
feb-13,5.0111
mar-13,5.084 
abr-13,5.1555
may-13,5.2399
jun-13,5.3292
jul-13,5.4409
ago-13,5.5814
sep-13,5.7371
oct-13,5.8482
nov-13,6.0149
dic-13,6.3192
ene-14,7.0967
feb-14,7.8565
mar-14,7.9313
abr-14,8.0013
may-14,8.0427
jun-14,8.1255
jul-14,8.1606
ago-14,8.3164
sep-14,8.4193
oct-14,8.4803
nov-14,8.514 
dic-14,8.5495
ene-15,8.6024
feb-15,8.6859
mar-15,8.779 
abr-15,8.8657
may-15,8.9487
jun-15,9.0416
jul-15,9.1425
ago-15,9.2433
sep-15,9.3652
oct-15,9.4896
nov-15,9.6272
dic-15,11.427
ene-16,13.654
feb-16,14.814
mar-16,14.961
abr-16,14.409
may-16,14.137
jun-16,14.140
jul-16,14.909
ago-16,14.849
sep-16,15.100
oct-16,15.181
nov-16,15.339
dic-16,15.829
ene-17,15.906
feb-17,15.598
mar-17,15.523
abr-17,15.36 
may-17,15.698
jun-17,16.116
jul-17,17.169
ago-17,17.416
sep-17,17.246
oct-17,17.452
nov-17,17.492
dic-17,17.700
ene-18,19.029
feb-18,19.840
mar-18,20.237
abr-18,20.234
may-18,23.668
jun-18,26.534
jul-18,27.624
ago-18,30.124
sep-18,38.59 
oct-18,37.120
nov-18,36.459
dic-18,37.885
ene-19,37.406
feb-19,38.408
mar-19,41.362
abr-19,43.233
may-19,44.933
jun-19,43.789
jul-19,42.543
